v1: -0.587937, v2: -0.587937, v3: -0.587937
v1: -0.500000, v2: -0.500000, v3: -0.500000
v1: -0.392847, v2: -0.392847, v3: -0.392847
v1: -0.270598, v2: -0.270598, v3: -0.270598
v1: -0.137950, v2: -0.137950, v3: -0.137950
v1: -0.108386, v2: -0.108386, v3: -0.108386
v1: -0.212607, v2: -0.212607, v3: -0.212607
v1: -0.308658, v2: -0.308658, v3: -0.308658
v1: -0.392847, v2: -0.392847, v3: -0.392847
v1: -0.461939, v2: -0.461939, v3: -0.461939
v1: -0.513280, v2: -0.513280, v3: -0.513280
v1: -0.544895, v2: -0.544895, v3: -0.544895
v1: -0.555570, v2: -0.555570, v3: -0.555570
v1: -0.544895, v2: -0.544895, v3: -0.544895
v1: -0.513280, v2: -0.513280, v3: -0.513280
v1: -0.461939, v2: -0.461939, v3: -0.461939
v1: -0.392847, v2: -0.392847, v3: -0.392847
v1: -0.308658, v2: -0.308658, v3: -0.308658
v1: -0.212607, v2: -0.212607, v3: -0.212607
v1: -0.108386, v2: -0.108386, v3: -0.108386
v1: -0.074658, v2: -0.074658, v3: -0.074658
v1: -0.146447, v2: -0.146447, v3: -0.146447
v1: -0.212607, v2: -0.212607, v3: -0.212607
v1: -0.270598, v2: -0.270598, v3: -0.270598
v1: -0.318189, v2: -0.318189, v3: -0.318189
v1: -0.353553, v2: -0.353553, v3: -0.353553
v1: -0.375330, v2: -0.375330, v3: -0.375330
v1: -0.382683, v2: -0.382683, v3: -0.382683
v1: -0.375330, v2: -0.375330, v3: -0.375330
v1: -0.353553, v2: -0.353553, v3: -0.353553
v1: -0.318189, v2: -0.318189, v3: -0.318189
v1: -0.270598, v2: -0.270598, v3: -0.270598
v1: -0.212607, v2: -0.212607, v3: -0.212607
v1: -0.146446, v2: -0.146446, v3: -0.146446
v1: -0.074658, v2: -0.074658, v3: -0.074658
v1: -0.038060, v2: -0.038060, v3: -0.038060
v1: -0.074658, v2: -0.074658, v3: -0.074658
v1: -0.108386, v2: -0.108386, v3: -0.108386
v1: -0.137950, v2: -0.137950, v3: -0.137950
v1: -0.162211, v2: -0.162211, v3: -0.162211
v1: -0.180240, v2: -0.180240, v3: -0.180240
v1: -0.191341, v2: -0.191341, v3: -0.191341
v1: -0.195090, v2: -0.195090, v3: -0.195090
v1: -0.191341, v2: -0.191341, v3: -0.191341
v1: -0.180240, v2: -0.180240, v3: -0.180240
v1: -0.162211, v2: -0.162211, v3: -0.162211
v1: -0.137950, v2: -0.137950, v3: -0.137950
v1: -0.108386, v2: -0.108386, v3: -0.108386
v1: -0.074658, v2: -0.074658, v3: -0.074658
v1: -0.038060, v2: -0.038060, v3: -0.038060
v1: 0.000000, v2: 0.000000, v3: 0.000000
v1: 0.000000, v2: 0.000000, v3: 0.000000
v1: 0.000000, v2: 0.000000, v3: 0.000000
v1: 0.000000, v2: 0.000000, v3: 0.000000
v1: 0.000000, v2: 0.000000, v3: 0.000000
